DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,O3,O3_OK,REGION
2019-07-04 12:00,2019-07-04,12:00,Victoria Topaz,VICTORIA TOPAZ,16,16,01 - Vancouver Island
2019-07-05 12:00,2019-07-05,12:00,Victoria Topaz,VICTORIA TOPAZ,15,14.6,01 - Vancouver Island
2019-07-06 12:00,2019-07-06,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.3,01 - Vancouver Island
2019-07-07 12:00,2019-07-07,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.2,01 - Vancouver Island
2019-07-08 12:00,2019-07-08,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.1,01 - Vancouver Island
2019-07-09 12:00,2019-07-09,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.7,01 - Vancouver Island
2019-07-10 12:00,2019-07-10,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-07-11 12:00,2019-07-11,12:00,Victoria Topaz,VICTORIA TOPAZ,19,18.9,01 - Vancouver Island
2019-07-12 12:00,2019-07-12,12:00,Victoria Topaz,VICTORIA TOPAZ,15,14.6,01 - Vancouver Island
2019-07-13 12:00,2019-07-13,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.2,01 - Vancouver Island
2019-07-14 12:00,2019-07-14,12:00,Victoria Topaz,VICTORIA TOPAZ,24,24,01 - Vancouver Island
2019-07-15 12:00,2019-07-15,12:00,Victoria Topaz,VICTORIA TOPAZ,20,20,01 - Vancouver Island
2019-07-16 12:00,2019-07-16,12:00,Victoria Topaz,VICTORIA TOPAZ,19,18.8,01 - Vancouver Island
2019-07-17 12:00,2019-07-17,12:00,Victoria Topaz,VICTORIA TOPAZ,13,12.3,01 - Vancouver Island
2019-07-18 12:00,2019-07-18,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.9,01 - Vancouver Island
2019-07-19 12:00,2019-07-19,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.7,01 - Vancouver Island
2019-07-20 12:00,2019-07-20,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.4,01 - Vancouver Island
2019-07-21 12:00,2019-07-21,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.1,01 - Vancouver Island
2019-07-22 12:00,2019-07-22,12:00,Victoria Topaz,VICTORIA TOPAZ,18,17.4,01 - Vancouver Island
2019-07-23 12:00,2019-07-23,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.9,01 - Vancouver Island
2019-07-24 12:00,2019-07-24,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.2,01 - Vancouver Island
2019-07-25 12:00,2019-07-25,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.7,01 - Vancouver Island
2019-07-26 12:00,2019-07-26,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-07-27 12:00,2019-07-27,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.5,01 - Vancouver Island
2019-07-28 12:00,2019-07-28,12:00,Victoria Topaz,VICTORIA TOPAZ,19,18.6,01 - Vancouver Island
2019-07-29 12:00,2019-07-29,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.8,01 - Vancouver Island
2019-07-30 12:00,2019-07-30,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.9,01 - Vancouver Island
2019-07-31 12:00,2019-07-31,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.7,01 - Vancouver Island
2019-08-01 12:00,2019-08-01,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.7,01 - Vancouver Island
2019-08-02 12:00,2019-08-02,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.8,01 - Vancouver Island
2019-08-03 12:00,2019-08-03,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.7,01 - Vancouver Island
2019-08-04 12:00,2019-08-04,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.8,01 - Vancouver Island
2019-08-05 12:00,2019-08-05,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.3,01 - Vancouver Island
2019-08-06 12:00,2019-08-06,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.4,01 - Vancouver Island
2019-08-07 12:00,2019-08-07,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.2,01 - Vancouver Island
2019-08-08 12:00,2019-08-08,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.1,01 - Vancouver Island
2019-08-09 12:00,2019-08-09,12:00,Victoria Topaz,VICTORIA TOPAZ,14,13.6,01 - Vancouver Island
2019-08-10 12:00,2019-08-10,12:00,Victoria Topaz,VICTORIA TOPAZ,17,16.1,01 - Vancouver Island
2019-08-11 12:00,2019-08-11,12:00,Victoria Topaz,VICTORIA TOPAZ,19,18.9,01 - Vancouver Island
